0,1
1,1
2,1
3,1
4,1
5,7
6,7
7,7
8,7
9,7
10,6
11,6
12,6
13,6
14,6
15,3
16,3
17,3
18,3
19,3
20,8
21,8
22,8
23,8
24,8
25,14
26,14
27,14
28,14
29,14
30,4
31,4
32,4
33,4
34,4
35,12
36,12
37,12
38,12
39,12
40,7
41,7
42,7
43,7
44,7
45,5
46,5
47,5
48,5
49,5
50,9
51,9
52,9
53,9
54,9
55,16
56,16
57,16
58,16
59,16
60,3
61,3
62,3
63,3
64,3
65,13
66,13
67,13
68,13
69,13
70,10
71,10
72,10
73,10
74,10
75,15
76,15
77,15
78,15
79,15
80,2
81,2
82,2
83,2
84,2
85,11
86,11
87,11
88,11
89,11
90,17
91,17
92,17
93,17
94,17
95,12
96,12
97,12
98,12
99,12
100,15
101,15
102,15
103,15
104,15
105,12
106,12
107,12
108,12
109,12
110,11
111,11
112,11
113,11
114,11
115,4
116,4
117,4
118,4
119,4
120,4
121,4
122,4
123,4
124,4
