0,1
1,5
2,7
3,1
4,4
5,4
6,8
7,9
8,2
9,1
10,11
11,2
12,6
13,10
14,1
15,5
16,3
17,6
18,5
19,5
20,8
21,1
22,10
23,8
24,10
25,8
26,10
27,4
28,3
29,5
30,7
31,8
32,8
33,3
34,6
35,4
36,2
37,7
38,10
39,10
40,6
41,10
42,9
43,6
44,2
45,8
46,8
47,4
48,11
49,5
50,4
51,8
52,7
53,9
54,3
55,7
56,4
57,8
58,1
59,8
60,9
61,3
62,3
63,11
64,9
65,6
66,10
67,5
68,7
69,7
70,10
71,6
72,7
73,8
74,9
75,9
76,10
77,11
78,9
79,3
80,11
81,10
82,9
83,1
84,2
85,1
86,10
87,6
88,4
89,5
90,9
91,10
92,6
93,8
94,2
95,11
96,3
97,6
98,2
99,8
100,7
101,4
102,5
103,4
104,8
105,4
106,4
107,2
108,1
109,4
110,4
111,4
112,8
113,3
114,9
